district_id,organization_id,organization_type_id,intotal,year,month,week_of_month,weekday,hour,demand_id,demand_clean,time
22,2.0,3,10,2016,2,3,2,15,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-17 15:58:40.000000
3,2.0,3,4,2016,2,3,2,16,1,फसल बीमा,2016-02-17 16:26:54.000000
24,40.0,3,40,2016,2,3,2,17,1,फसल बीमा,2016-02-17 17:22:43.000000
24,40.0,3,40,2016,2,3,2,17,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-17 17:22:43.000000
4,2.0,3,7,2016,2,3,3,10,1,फसल बीमा,2016-02-18 10:41:22.000000
4,2.0,3,7,2016,2,3,3,10,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-18 10:41:22.000000
3,2.0,3,4,2016,2,3,3,11,1,फसल बीमा,2016-02-18 11:15:16.000000
14,3.0,3,2500,2016,2,3,3,13,1,फसल बीमा,2016-02-18 13:54:55.000000
14,2.0,3,30,2016,2,3,3,13,1,फसल बीमा,2016-02-18 13:58:02.000000
14,2.0,3,30,2016,2,3,3,13,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-18 13:58:02.000000
20,2.0,3,15,2016,2,3,3,14,1,फसल बीमा,2016-02-18 14:22:49.000000
27,,1,3,2016,2,3,3,17,1,फसल बीमा,2016-02-18 17:54:58.000000
27,,3,3,2016,2,3,3,17,1,फसल बीमा,2016-02-18 17:54:58.000000
22,2.0,3,10,2016,2,3,4,10,1,फसल बीमा,2016-02-19 10:47:51.000000
22,2.0,3,10,2016,2,3,4,10,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-19 10:47:51.000000
15,,12,20,2016,2,3,4,15,10,सहायता राशि/मुआवज़ा,2016-02-19 15:19:10.000000
15,,3,20,2016,2,3,4,15,10,सहायता राशि/मुआवज़ा,2016-02-19 15:19:10.000000
34,13.0,3,64,2016,2,3,4,17,7,नहरों का पानी/सिचाई समस्या,2016-02-19 17:14:38.000000
34,13.0,3,64,2016,2,3,4,17,7,नहरों का पानी/सिचाई समस्या,2016-02-19 17:14:38.000000
16,40.0,3,3,2016,2,3,5,15,7,नहरों का पानी/सिचाई समस्या,2016-02-20 15:22:50.000000
16,40.0,3,3,2016,2,3,5,15,4,बिजली की समस्या,2016-02-20 15:22:50.000000
34,40.0,3,100,2016,2,3,5,16,7,नहरों का पानी/सिचाई समस्या,2016-02-20 16:38:24.000000
34,40.0,3,100,2016,2,3,5,16,7,नहरों का पानी/सिचाई समस्या,2016-02-20 16:38:24.000000
34,40.0,3,100,2016,2,3,6,12,7,नहरों का पानी/सिचाई समस्या,2016-02-21 12:16:37.000000
34,40.0,3,100,2016,2,3,6,12,7,नहरों का पानी/सिचाई समस्या,2016-02-21 12:16:37.000000
34,,3,100,2016,2,3,6,15,7,नहरों का पानी/सिचाई समस्या,2016-02-21 15:48:55.000000
34,40.0,3,100,2016,2,4,0,10,7,नहरों का पानी/सिचाई समस्या,2016-02-22 10:41:32.000000
34,40.0,3,100,2016,2,4,0,10,7,नहरों का पानी/सिचाई समस्या,2016-02-22 10:41:32.000000
28,2.0,3,15,2016,2,4,1,18,1,फसल बीमा,2016-02-23 18:51:16.000000
28,40.0,3,8,2016,2,4,1,18,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-23 18:54:26.000000
28,40.0,3,8,2016,2,4,1,18,7,नहरों का पानी/सिचाई समस्या,2016-02-23 18:54:26.000000
13,,5,20,2016,2,4,3,16,2,बाढ़ आना,2016-02-25 16:24:30.000000
13,,3,20,2016,2,4,3,16,2,बाढ़ आना,2016-02-25 16:24:30.000000
13,,3,20,2016,2,4,3,16,2,बाढ़ आना,2016-02-25 16:24:30.000000
13,,5,20,2016,2,4,3,16,2,बाढ़ आना,2016-02-25 16:24:30.000000
49,37.0,3,0,2016,2,4,5,17,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-27 17:22:21.000000
49,37.0,3,0,2016,2,4,5,17,1,फसल बीमा,2016-02-27 17:22:21.000000
49,37.0,3,0,2016,2,4,5,17,0,फ़सल ख़राब/फसल अफलन,2016-02-27 17:22:21.000000
49,37.0,3,500,2016,2,4,6,14,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-28 14:26:35.000000
49,37.0,3,500,2016,2,4,6,14,0,फ़सल ख़राब/फसल अफलन,2016-02-28 14:26:35.000000
49,37.0,3,500,2016,2,4,6,14,1,फसल बीमा,2016-02-28 14:26:35.000000
5,40.0,3,15,2016,2,5,0,12,10,सहायता राशि/मुआवज़ा,2016-02-29 12:57:27.000000
49,37.0,3,500,2016,2,5,0,17,1,फसल बीमा,2016-02-29 17:02:10.000000
49,37.0,3,500,2016,2,5,0,17,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-29 17:02:10.000000
49,37.0,3,500,2016,2,5,0,17,0,फ़सल ख़राब/फसल अफलन,2016-02-29 17:02:10.000000
11,40.0,3,800,2016,2,5,0,17,1,फसल बीमा,2016-02-29 17:05:49.000000
11,40.0,3,800,2016,2,5,0,17,1,फसल बीमा,2016-02-29 17:05:49.000000
5,40.0,3,100,2016,2,5,0,17,10,सहायता राशि/मुआवज़ा,2016-02-29 17:29:44.000000
5,40.0,3,100,2016,2,5,0,17,7,नहरों का पानी/सिचाई समस्या,2016-02-29 17:29:44.000000
31,40.0,3,30,2017,2,1,2,12,7,नहरों का पानी/सिचाई समस्या,2017-02-01 12:10:25.000000
47,2.0,3,100,2017,2,1,3,16,7,नहरों का पानी/सिचाई समस्या,2017-02-02 16:27:35.000000
47,2.0,3,100,2017,2,1,3,16,7,नहरों का पानी/सिचाई समस्या,2017-02-02 16:27:35.000000
47,2.0,3,100,2017,2,1,3,16,7,नहरों का पानी/सिचाई समस्या,2017-02-02 16:27:35.000000
43,2.0,3,40,2017,2,1,4,16,8,मूल्य न मिलना(Minimum Support Price(MSP)),2017-02-03 16:43:01.000000
19,13.0,3,0,2017,2,1,6,15,9,किसानों द्वारा आत्महत्या/आत्महत्या का प्रयास,2017-02-05 15:16:52.000000
29,2.0,3,15,2017,2,1,1,16,1,फसल बीमा,2017-02-07 16:18:10.000000
29,2.0,3,15,2017,2,1,1,16,8,मूल्य न मिलना(Minimum Support Price(MSP)),2017-02-07 16:18:10.000000
29,2.0,3,15,2017,2,1,1,16,1,फसल बीमा,2017-02-07 16:18:10.000000
29,2.0,3,15,2017,2,1,1,16,8,मूल्य न मिलना(Minimum Support Price(MSP)),2017-02-07 16:18:10.000000
44,5.0,3,0,2017,2,2,2,12,7,नहरों का पानी/सिचाई समस्या,2017-02-08 12:19:54.000000
14,40.0,3,1,2017,2,2,4,17,1,फसल बीमा,2017-02-10 17:37:08.000000
14,13.0,3,1,2017,2,2,5,17,1,फसल बीमा,2017-02-11 17:45:13.000000
31,40.0,3,30,2017,2,2,5,17,1,फसल बीमा,2017-02-11 17:56:00.000000
14,13.0,3,1,2017,2,2,6,16,1,फसल बीमा,2017-02-12 16:51:14.000000
25,13.0,3,100,2017,2,2,0,16,11,मंडी व्यवस्था/खरीदी केन्द्,2017-02-13 16:46:06.000000
37,13.0,3,0,2017,2,2,1,16,0,फ़सल ख़राब/फसल अफलन,2017-02-14 16:34:57.000000
31,40.0,3,40,2017,2,2,1,18,7,नहरों का पानी/सिचाई समस्या,2017-02-14 18:10:40.000000
1,2.0,3,0,2017,2,3,2,10,1,फसल बीमा,2017-02-15 10:00:59.000000
1,2.0,3,0,2017,2,3,2,15,1,फसल बीमा,2017-02-15 15:22:42.000000
29,13.0,3,50,2017,2,3,2,15,0,फ़सल ख़राब/फसल अफलन,2017-02-15 15:43:25.000000
43,,3,25,2017,2,3,2,16,7,नहरों का पानी/सिचाई समस्या,2017-02-15 16:47:45.000000
43,,3,25,2017,2,3,2,16,7,नहरों का पानी/सिचाई समस्या,2017-02-15 16:47:45.000000
48,2.0,3,100,2017,2,3,2,17,1,फसल बीमा,2017-02-15 17:55:45.000000
14,,3,40,2017,2,3,3,16,1,फसल बीमा,2017-02-16 16:08:36.000000
14,,3,40,2017,2,3,3,16,10,सहायता राशि/मुआवज़ा,2017-02-16 16:08:36.000000
24,40.0,3,50,2017,2,3,4,15,7,नहरों का पानी/सिचाई समस्या,2017-02-17 15:55:10.000000
25,,3,100,2017,2,3,4,16,3,बिजली बिल,2017-02-17 16:18:52.000000
25,,2,100,2017,2,3,4,16,3,बिजली बिल,2017-02-17 16:18:52.000000
25,25.0,3,80,2017,2,3,0,16,8,मूल्य न मिलना(Minimum Support Price(MSP)),2017-02-20 16:18:27.000000
44,13.0,3,10,2017,2,3,0,16,9,किसानों द्वारा आत्महत्या/आत्महत्या का प्रयास,2017-02-20 16:40:07.000000
1,2.0,3,0,2017,2,4,2,15,8,मूल्य न मिलना(Minimum Support Price(MSP)),2017-02-22 15:48:49.000000
1,2.0,3,0,2017,2,4,2,15,1,फसल बीमा,2017-02-22 15:48:49.000000
1,2.0,3,150,2017,2,4,3,16,8,मूल्य न मिलना(Minimum Support Price(MSP)),2017-02-23 16:03:50.000000
1,2.0,3,150,2017,2,4,3,16,1,फसल बीमा,2017-02-23 16:03:50.000000
1,2.0,3,150,2017,2,4,3,16,8,मूल्य न मिलना(Minimum Support Price(MSP)),2017-02-23 16:35:57.000000
1,2.0,3,150,2017,2,4,3,16,1,फसल बीमा,2017-02-23 16:35:57.000000
36,7.0,3,0,2017,2,4,5,16,0,फ़सल ख़राब/फसल अफलन,2017-02-25 16:49:09.000000
37,2.0,3,10,2017,2,4,0,16,11,मंडी व्यवस्था/खरीदी केन्द्,2017-02-27 16:05:21.000000
44,2.0,3,50,2017,2,4,0,17,9,किसानों द्वारा आत्महत्या/आत्महत्या का प्रयास,2017-02-27 17:58:42.000000
36,7.0,3,150,2017,2,4,0,18,11,मंडी व्यवस्था/खरीदी केन्द्,2017-02-27 18:44:50.000000
36,7.0,3,150,2017,2,4,0,18,8,मूल्य न मिलना(Minimum Support Price(MSP)),2017-02-27 18:44:50.000000
36,7.0,3,150,2017,2,4,0,18,0,फ़सल ख़राब/फसल अफलन,2017-02-27 18:44:50.000000
36,7.0,3,150,2017,2,4,0,18,11,मंडी व्यवस्था/खरीदी केन्द्,2017-02-27 18:44:50.000000
36,7.0,3,150,2017,2,4,0,18,8,मूल्य न मिलना(Minimum Support Price(MSP)),2017-02-27 18:44:50.000000
36,7.0,3,150,2017,2,4,0,18,0,फ़सल ख़राब/फसल अफलन,2017-02-27 18:44:50.000000
4,2.0,3,2,2017,2,4,1,16,11,मंडी व्यवस्था/खरीदी केन्द्,2017-02-28 16:46:49.000000
6,,1,250,2018,2,1,3,17,7,नहरों का पानी/सिचाई समस्या,2018-02-01 17:03:42.000000
6,,3,250,2018,2,1,3,17,7,नहरों का पानी/सिचाई समस्या,2018-02-01 17:03:42.000000
24,2.0,3,90,2018,2,1,3,17,7,नहरों का पानी/सिचाई समस्या,2018-02-01 17:31:23.000000
24,2.0,3,90,2018,2,1,3,17,0,फ़सल ख़राब/फसल अफलन,2018-02-01 17:31:23.000000
24,2.0,3,90,2018,2,1,3,17,10,सहायता राशि/मुआवज़ा,2018-02-01 17:31:23.000000
24,2.0,13,90,2018,2,1,3,17,0,फ़सल ख़राब/फसल अफलन,2018-02-01 17:31:23.000000
24,2.0,13,90,2018,2,1,3,17,1,फसल बीमा,2018-02-01 17:31:23.000000
24,2.0,13,90,2018,2,1,3,17,7,नहरों का पानी/सिचाई समस्या,2018-02-01 17:31:23.000000
24,2.0,13,90,2018,2,1,3,17,10,सहायता राशि/मुआवज़ा,2018-02-01 17:31:23.000000
24,2.0,3,90,2018,2,1,3,17,1,फसल बीमा,2018-02-01 17:31:23.000000
6,,1,250,2018,2,1,3,17,7,नहरों का पानी/सिचाई समस्या,2018-02-01 17:41:01.000000
6,,3,250,2018,2,1,3,17,7,नहरों का पानी/सिचाई समस्या,2018-02-01 17:41:01.000000
24,2.0,13,150,2018,2,1,4,16,1,फसल बीमा,2018-02-02 16:28:34.000000
24,2.0,13,150,2018,2,1,4,16,7,नहरों का पानी/सिचाई समस्या,2018-02-02 16:28:34.000000
24,2.0,13,150,2018,2,1,4,16,0,फ़सल ख़राब/फसल अफलन,2018-02-02 16:28:34.000000
24,2.0,3,150,2018,2,1,4,16,10,सहायता राशि/मुआवज़ा,2018-02-02 16:28:34.000000
24,2.0,3,150,2018,2,1,4,16,7,नहरों का पानी/सिचाई समस्या,2018-02-02 16:28:34.000000
24,2.0,3,150,2018,2,1,4,16,1,फसल बीमा,2018-02-02 16:28:34.000000
24,2.0,3,150,2018,2,1,4,16,0,फ़सल ख़राब/फसल अफलन,2018-02-02 16:28:34.000000
24,2.0,13,150,2018,2,1,4,16,10,सहायता राशि/मुआवज़ा,2018-02-02 16:28:34.000000
24,2.0,3,150,2018,2,1,4,16,0,फ़सल ख़राब/फसल अफलन,2018-02-02 16:28:34.000000
24,2.0,3,150,2018,2,1,4,16,1,फसल बीमा,2018-02-02 16:28:34.000000
24,2.0,3,150,2018,2,1,4,16,7,नहरों का पानी/सिचाई समस्या,2018-02-02 16:28:34.000000
24,2.0,3,150,2018,2,1,4,16,10,सहायता राशि/मुआवज़ा,2018-02-02 16:28:34.000000
24,2.0,13,150,2018,2,1,4,16,0,फ़सल ख़राब/फसल अफलन,2018-02-02 16:28:34.000000
24,2.0,13,150,2018,2,1,4,16,10,सहायता राशि/मुआवज़ा,2018-02-02 16:28:34.000000
24,2.0,13,150,2018,2,1,4,16,1,फसल बीमा,2018-02-02 16:28:34.000000
24,2.0,13,150,2018,2,1,4,16,7,नहरों का पानी/सिचाई समस्या,2018-02-02 16:28:34.000000
19,40.0,3,25,2018,2,1,5,15,7,नहरों का पानी/सिचाई समस्या,2018-02-03 15:30:40.000000
19,40.0,3,25,2018,2,1,5,15,7,नहरों का पानी/सिचाई समस्या,2018-02-03 15:30:40.000000
24,2.0,3,20,2018,2,1,5,17,7,नहरों का पानी/सिचाई समस्या,2018-02-03 17:39:37.000000
24,2.0,3,20,2018,2,1,5,17,10,सहायता राशि/मुआवज़ा,2018-02-03 17:39:37.000000
24,2.0,3,20,2018,2,1,5,17,0,फ़सल ख़राब/फसल अफलन,2018-02-03 17:39:37.000000
24,2.0,3,20,2018,2,1,5,17,1,फसल बीमा,2018-02-03 17:39:37.000000
33,40.0,3,300,2018,2,1,5,18,13,भावंतर राशि,2018-02-03 18:53:55.000000
19,40.0,3,25,2018,2,1,6,15,7,नहरों का पानी/सिचाई समस्या,2018-02-04 15:15:14.000000
19,40.0,3,25,2018,2,1,6,15,7,नहरों का पानी/सिचाई समस्या,2018-02-04 15:15:14.000000
19,40.0,3,25,2018,2,1,0,17,7,नहरों का पानी/सिचाई समस्या,2018-02-05 17:21:03.000000
27,40.0,3,30,2018,2,1,0,17,8,मूल्य न मिलना(Minimum Support Price(MSP)),2018-02-05 17:51:26.000000
53,,3,0,2018,2,1,1,13,8,मूल्य न मिलना(Minimum Support Price(MSP)),2018-02-06 13:34:04.000000
6,,3,35,2018,2,1,1,17,9,किसानों द्वारा आत्महत्या/आत्महत्या का प्रयास,2018-02-06 17:16:53.000000
6,,14,35,2018,2,1,1,17,9,किसानों द्वारा आत्महत्या/आत्महत्या का प्रयास,2018-02-06 17:16:53.000000
21,8.0,3,10,2018,2,1,1,17,13,भावंतर राशि,2018-02-06 17:30:16.000000
53,40.0,3,18,2018,2,1,2,13,13,भावंतर राशि,2018-02-07 13:49:18.000000
53,40.0,3,18,2018,2,1,2,13,3,बिजली बिल,2018-02-07 13:49:18.000000
34,13.0,3,20,2018,2,2,3,18,7,नहरों का पानी/सिचाई समस्या,2018-02-08 18:24:05.000000
22,24.0,3,25,2018,2,2,4,16,13,भावंतर राशि,2018-02-09 16:36:55.000000
39,13.0,3,5000,2018,2,2,5,13,13,भावंतर राशि,2018-02-10 13:33:41.000000
12,24.0,3,0,2018,2,2,6,15,13,भावंतर राशि,2018-02-11 15:05:59.000000
44,7.0,3,0,2018,2,2,6,16,13,भावंतर राशि,2018-02-11 16:16:19.000000
44,7.0,3,0,2018,2,2,6,16,1,फसल बीमा,2018-02-11 16:16:19.000000
44,7.0,3,0,2018,2,2,6,16,7,नहरों का पानी/सिचाई समस्या,2018-02-11 16:16:19.000000
21,2.0,3,0,2018,2,2,0,13,8,मूल्य न मिलना(Minimum Support Price(MSP)),2018-02-12 13:01:06.000000
50,40.0,3,1000,2018,2,2,0,16,13,भावंतर राशि,2018-02-12 16:15:33.000000
20,40.0,3,2000,2018,2,2,0,16,13,भावंतर राशि,2018-02-12 16:23:15.000000
22,,3,200,2018,2,2,0,16,13,भावंतर राशि,2018-02-12 16:38:35.000000
22,,1,200,2018,2,2,0,16,13,भावंतर राशि,2018-02-12 16:38:35.000000
19,13.0,3,300,2018,2,2,0,16,13,भावंतर राशि,2018-02-12 16:51:13.000000
44,2.0,3,100,2018,2,2,0,17,7,नहरों का पानी/सिचाई समस्या,2018-02-12 17:42:20.000000
44,2.0,3,100,2018,2,2,0,17,1,फसल बीमा,2018-02-12 17:42:20.000000
44,2.0,3,100,2018,2,2,0,17,13,भावंतर राशि,2018-02-12 17:42:20.000000
4,2.0,3,8,2018,2,2,0,18,11,मंडी व्यवस्था/खरीदी केन्द्,2018-02-12 18:20:32.000000
27,,3,200,2018,2,2,0,18,0,फ़सल ख़राब/फसल अफलन,2018-02-12 18:30:32.000000
27,,2,200,2018,2,2,0,18,0,फ़सल ख़राब/फसल अफलन,2018-02-12 18:30:32.000000
27,,1,200,2018,2,2,0,18,0,फ़सल ख़राब/फसल अफलन,2018-02-12 18:30:32.000000
50,40.0,3,1000,2018,2,2,1,14,13,भावंतर राशि,2018-02-13 14:50:28.000000
37,40.0,3,400,2018,2,2,1,17,13,भावंतर राशि,2018-02-13 17:10:41.000000
19,40.0,3,30,2018,2,2,1,19,10,सहायता राशि/मुआवज़ा,2018-02-13 19:21:51.000000
21,,3,0,2018,2,2,2,12,0,फ़सल ख़राब/फसल अफलन,2018-02-14 12:51:53.000000
47,40.0,3,20,2018,2,3,3,17,1,फसल बीमा,2018-02-15 17:45:24.000000
39,2.0,3,50,2018,2,3,4,13,10,सहायता राशि/मुआवज़ा,2018-02-16 13:19:21.000000
53,,3,15,2018,2,3,4,15,8,मूल्य न मिलना(Minimum Support Price(MSP)),2018-02-16 15:15:49.000000
53,,3,15,2018,2,3,4,15,5,खाद की कमी: यूरिया(Urea) डीएपी(DAP)/काला बाजारी,2018-02-16 15:15:49.000000
49,,3,0,2018,2,3,4,16,8,मूल्य न मिलना(Minimum Support Price(MSP)),2018-02-16 16:10:11.000000
39,13.0,3,150,2018,2,3,4,16,3,बिजली बिल,2018-02-16 16:31:52.000000
6,,3,50,2018,2,3,4,18,8,मूल्य न मिलना(Minimum Support Price(MSP)),2018-02-16 18:43:36.000000
12,24.0,3,0,2018,2,3,1,13,10,सहायता राशि/मुआवज़ा,2018-02-20 13:53:49.000000
43,2.0,3,40,2018,2,3,2,16,10,सहायता राशि/मुआवज़ा,2018-02-21 16:02:01.000000
9,21.0,3,60,2018,2,3,2,17,8,मूल्य न मिलना(Minimum Support Price(MSP)),2018-02-21 17:08:24.000000
12,24.0,3,40,2018,2,3,2,18,10,सहायता राशि/मुआवज़ा,2018-02-21 18:17:28.000000
